"title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_date","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_date","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url"
"The Room","Feature Film","Drama",99,"R","Chloe Productions",2003-06-27,2003,6,27,2005-12-17,2005,12,17,3.5,27769,"Rotten",35,"Spilled",46,"no","no","no","no","no","no","Tommy Wiseau","Tommy Wiseau","Juliette Danielle","Greg Sestero","Philip Haldiman","Carolyn Minnott","http://www.imdb.com/title/tt0368226/","//www.rottentomatoes.com/m/the_room_1998/"
"Town & Country","Feature Film","Drama",104,"R","New Line Cinema",2000-09-01,2000,9,1,2001-10-16,2001,10,16,4.3,4072,"Rotten",13,"Spilled",14,"no","no","no","yes","no","no","Boris Damast","Warren Beatty","Diane Keaton","Goldie Hawn","Garry Shandling","Andie MacDowell","http://www.imdb.com/title/tt0141907/","//www.rottentomatoes.com/m/town_and_country/"
"Cocoon: The Return","Feature Film","Drama",116,"PG","Fox",1988-11-23,1988,11,23,2004-06-01,2004,6,1,5.2,11657,"Rotten",36,"Spilled",35,"no","no","no","no","no","no","Daniel Petrie","Don Ameche","Wilford Brimley","Hume Cronyn","Jack Gilford","Steve Guttenberg","http://www.imdb.com/title/tt0094890/","//www.rottentomatoes.com/m/cocoon_the_return/"
"Bamboozled","Feature Film","Drama",135,"R","New Line Cinema",2000-10-06,2000,10,6,2001-04-17,2001,4,17,6.4,8604,"Rotten",48,"Upright",74,"no","no","no","no","no","no","Spike Lee","Damon Wayans","Savion Glover","Tommy Davidson","Michael Rapaport","Thomas Jefferson Byrd","http://www.imdb.com/title/tt0215545/","//www.rottentomatoes.com/m/bamboozled/"
"The Cake Eaters","Feature Film","Art House & International",86,"R","7-57 Releasing",2007-04-29,2007,4,29,2009-03-24,2009,3,24,6.5,5762,"Fresh",64,"Spilled",48,"no","no","no","no","no","no","Mary Stuart Masterson","Aaron Stanford","Bruce Dern","Jesse L. Martin","Kristen Stewart","Jayce Bartok","http://www.imdb.com/title/tt0418586/","//www.rottentomatoes.com/m/the-cake-eaters/"
"Made of Honor","Feature Film","Comedy",101,"PG-13","Sony Pictures/Columbia",2008-05-02,2008,5,2,2008-09-16,2008,9,16,5.8,52635,"Rotten",14,"Spilled",55,"no","no","no","no","no","no","Paul Weiland","Patrick Dempsey","Michelle Monaghan","Kevin Mckidd","Kathleen Quinlan","Sydney Pollack","http://www.imdb.com/title/tt0866439/","//www.rottentomatoes.com/m/made_of_honor/"
"Held Up","Feature Film","Comedy",89,"PG-13","Trimark",2000-05-12,2000,5,12,2000-08-29,2000,8,29,5.1,2817,"Rotten",17,"Spilled",43,"no","no","yes","no","no","no","Steve Rash","Jamie Foxx","Nia Long","Barry Corbin","John Cullum","Jake Busey","http://www.imdb.com/title/tt0165831/","//www.rottentomatoes.com/m/held_up/"
"Hoodlum","Feature Film","Drama",130,"R","905 Corporation",1997-08-27,1997,8,27,2001-05-15,2001,5,15,6.2,8016,"Rotten",45,"Upright",66,"no","no","no","no","no","no","Bill Duke","Laurence Fishburne","Tim Roth","Vanessa L. Williams","Andy Garcia","Cicely Tyson","http://www.imdb.com/title/tt0119311/","//www.rottentomatoes.com/m/1078030-hoodlum/"
"The Heavenly Kid","Feature Film","Drama",90,"PG-13","Orion",1985-07-26,1985,7,26,2005-11-15,2005,11,15,6.2,2830,"Rotten",25,"Upright",64,"no","no","no","no","no","no","Cary Medoway","Lewis Smith","Richard Mulligan","Jason Gedrick","Jane Kaczmarek","Mark Metcalf","http://www.imdb.com/title/tt0089265/","//www.rottentomatoes.com/m/heavenly_kid/"
"Punchline","Feature Film","Drama",128,"R","Sony Pictures Home Entertainment",1988-09-30,1988,9,30,2002-07-09,2002,7,9,5.8,6418,"Rotten",50,"Spilled",42,"no","no","yes","yes","no","no","David Seltzer","Tom Hanks","Sally Field","John Goodman","Mark Rydell","Paul Mazursky","http://www.imdb.com/title/tt0095927/","//www.rottentomatoes.com/m/punchline/"
"Dead Men Don't Wear Plaid","Feature Film","Mystery & Suspense",88,"PG","Universal Pictures",1982-05-21,1982,5,21,1999-03-16,1999,3,16,6.8,16366,"Fresh",77,"Upright",73,"no","no","no","no","no","no","Carl Reiner","Steve Martin","Rachel Ward","Reni Santoni","Carl Reiner","George Gaynes","http://www.imdb.com/title/tt0083798/","//www.rottentomatoes.com/m/dead_men_dont_wear_plaid/"
"The Hunger Games","Feature Film","Drama",142,"PG-13","Lionsgate",2012-03-23,2012,3,23,2012-08-18,2012,8,18,7.3,675907,"Certified Fresh",84,"Upright",81,"no","no","no","yes","no","yes","Gary Ross","Jennifer Lawrence","Josh Hutcherson","Liam Hemsworth","Woody Harrelson","Elizabeth Banks","http://www.imdb.com/title/tt1392170/","//www.rottentomatoes.com/m/the_hunger_games/"
"Simone","Feature Film","Drama",117,"PG-13","New Line Cinema",2002-08-23,2002,8,23,2003-01-21,2003,1,21,6.1,51070,"Rotten",51,"Spilled",35,"no","no","yes","no","no","no","Andrew Niccol","Al Pacino","Catherine Keener","Rachel Roberts","Evan Rachel Wood","Jay Mohr","http://www.imdb.com/title/tt0258153/","//www.rottentomatoes.com/m/simone_2002/"
"Jaws 2","Feature Film","Action & Adventure",116,"PG","MCA Universal Home Video",1978-06-16,1978,6,16,2001-05-22,2001,5,22,5.7,48718,"Rotten",53,"Spilled",38,"no","no","no","no","no","no","Jeannot Szwarc","Roy Scheider","Lorraine Gary","Murray Hamilton","Joseph Mascolo","Joe Mascolo","http://www.imdb.com/title/tt0077766/","//www.rottentomatoes.com/m/jaws_2/"
"Predator","Feature Film","Action & Adventure",107,"R","20th Century Fox",1987-06-12,1987,6,12,2000-12-26,2000,12,26,7.8,279704,"Certified Fresh",78,"Upright",87,"no","no","no","no","no","no","Shane Black","Arnold Schwarzenegger","Carl Weathers","Elpidia Carrillo","Bill Duke","Jesse Ventura","http://www.imdb.com/title/tt0093773/","//www.rottentomatoes.com/m/predator/"
"Oh, God! Book II","Feature Film","Comedy",94,"PG","WARNER BROTHERS PICTURES",1980-10-03,1980,10,3,2005-02-15,2005,2,15,5.1,1674,"Rotten",50,"Spilled",38,"no","no","no","no","no","no","Gilbert Cates","George Burns","Suzanne Pleshette","Tracy Richards","David Birney","Louanne","http://www.imdb.com/title/tt0081268/","//www.rottentomatoes.com/m/oh_god_book_ii/"
"This Is the End","Feature Film","Drama",107,"R","Sony Pictures",2013-06-12,2013,6,12,2013-10-01,2013,10,1,6.7,297034,"Certified Fresh",83,"Upright",71,"no","no","no","no","no","no","Seth Rogen","James Franco","Jonah Hill","Danny McBride","Craig Robinson","Michael Cera","http://www.imdb.com/title/tt1245492/","//www.rottentomatoes.com/m/this_is_the_end/"
"UHF","Feature Film","Other",97,"PG","Orion Pictures Corporation",1989-01-01,1989,1,1,2002-06-04,2002,6,4,7,21009,"Fresh",63,"Upright",77,"no","no","no","no","no","no","Jay Levey","Victoria Jackson","Weird Al Yankovic","Kevin McCarthy","Michael Richards","David Bowe","http://www.imdb.com/title/tt0098546/","//www.rottentomatoes.com/m/uhf/"
"Bait","Feature Film","Drama",119,"R","Warner Bros. Pictures",2000-09-15,2000,9,15,2001-01-23,2001,1,23,5.7,8818,"Rotten",26,"Spilled",41,"no","no","yes","no","no","no","Antoine Fuqua","Jamie Foxx","David Morse","Robert Pastorelli","Doug Hutchison","Kimberly Elise","http://www.imdb.com/title/tt0211938/","//www.rottentomatoes.com/m/1100039-bait/"
"Micki + Maude","Feature Film","Comedy",118,"PG-13","Sony Pictures Entertainment",1984-12-21,1984,12,21,2003-11-04,2003,11,4,5.9,2096,"Fresh",67,"Spilled",45,"no","no","no","no","no","no","Blake Edwards","Dudley Moore","Amy Irving","Ann Reinking","Richard Mulligan","George Gaynes","http://www.imdb.com/title/tt0087718/","//www.rottentomatoes.com/m/micki_and_maude/"
"Taps","Feature Film","Drama",126,"PG","20th Century Fox Film Corporation",1981-12-09,1981,12,9,2002-03-05,2002,3,5,6.7,12498,"Fresh",75,"Upright",67,"no","no","yes","no","no","no","Harold Becker","Timothy Hutton","George C. Scott","Ronny Cox","Sean Penn","Tom Cruise","http://www.imdb.com/title/tt0083169/","//www.rottentomatoes.com/m/taps/"
"New In Town","Feature Film","Comedy",97,"PG","Lionsgate Films",2009-01-30,2009,1,30,2009-05-26,2009,5,26,5.6,16955,"Rotten",29,"Spilled",37,"no","no","no","no","no","no","Jonas Elmer","Harry Connick Jr.","Rashida Jones","Siobhan Fallon","J.K. Simmons","Frances Conroy","http://www.imdb.com/title/tt1095174/","//www.rottentomatoes.com/m/new_in_town/"
"A Stranger Among Us","Feature Film","Drama",110,"PG-13","Buena Vista Pictures",1992-01-01,1992,1,1,2003-06-03,2003,6,3,5.7,2701,"Rotten",23,"Spilled",40,"no","no","no","no","no","no","Sidney Lumet","Melanie Griffith","Eric Thal","John Pankow","Tracy Pollan","Lee Richardson","http://www.imdb.com/title/tt0105483/","//www.rottentomatoes.com/m/stranger_among_us/"
"Ghost Rider: Spirit of Vengeance","Feature Film","Action & Adventure",96,"PG-13","Sony Pictures",2012-02-17,2012,2,17,2012-06-12,2012,6,12,4.3,83724,"Rotten",17,"Spilled",32,"no","no","yes","no","no","no","Brian Taylor","Nicolas Cage","Ciaran Hinds","Violante Placido","Idris Elba","Johnny Whitworth","http://www.imdb.com/title/tt1071875/","//www.rottentomatoes.com/m/ghost_rider_spirit_of_vengeance/"
"Top Gun","Feature Film","Drama",110,"PG","Paramount Pictures",1986-05-16,1986,5,16,1998-10-20,1998,10,20,6.9,211129,"Rotten",54,"Upright",83,"no","no","no","no","no","yes","Tony Scott","Tom Cruise","Kelly McGillis","Anthony Edwards","Val Kilmer","Tom Skerritt","http://www.imdb.com/title/tt0092099/","//www.rottentomatoes.com/m/top_gun/"
"The Little Mermaid","Feature Film","Animation",83,"G","Walt Disney Pictures",1989-01-01,1989,1,1,1999-12-07,1999,12,7,7.6,160237,"Certified Fresh",92,"Upright",88,"no","no","no","no","no","no","John Musker","Jodi Benson","Samuel E. Wright","Pat Carroll","Buddy Hackett","Rene Auberjonois","http://www.imdb.com/title/tt0097757/","//www.rottentomatoes.com/m/the_little_mermaid_1989/"
"The Spongebob Squarepants Movie","Feature Film","Animation",87,"PG","Paramount Pictures",2004-11-19,2004,11,19,2005-03-01,2005,3,1,7,56128,"Fresh",68,"Upright",77,"no","no","no","no","no","no","Sherm Cohen","Bill Fagerbakke","Mr. Lawrence","Carolyn Lawrence","Rodger Bumpass","Spongebob Squarepants","http://www.imdb.com/title/tt0345950/","//www.rottentomatoes.com/m/spongebob_squarepants_movie/"
"The Package","Feature Film","Mystery & Suspense",108,"R","Orion Home Video",1989-08-25,1989,8,25,2001-05-15,2001,5,15,6.4,6247,"Fresh",64,"Spilled",43,"no","no","yes","no","no","no","Andrew Davis","Gene Hackman","Joanna Cassidy","Tommy Lee Jones","John Heard","Kevin Crowley","http://www.imdb.com/title/tt0098051/","//www.rottentomatoes.com/m/package/"
"Black Death","Feature Film","Drama",102,"R","Magnet Releasing",2011-03-11,2011,3,11,2011-05-10,2011,5,10,6.4,34253,"Fresh",68,"Spilled",49,"no","no","yes","no","no","no","Christopher Smith","Sean Bean","Eddie Redmayne","Carice van Houten","John Lynch","Tim McInnerny","http://www.imdb.com/title/tt1181791/","//www.rottentomatoes.com/m/black_death-2010/"
"Modigliani","Feature Film","Art House & International",128,"R","Innovation Film Group",2004-09-24,2004,9,24,2005-09-27,2005,9,27,7.4,8030,"Rotten",4,"Upright",78,"no","no","no","no","no","no","Mick Davis","Andy Garcia","Elsa Zylberstein","Omid Djalili","Hippolyte Girardot","Eva Herzigova","http://www.imdb.com/title/tt0367188/","//www.rottentomatoes.com/m/modigliani/"
"Agent Cody Banks 2: Destination London","Feature Film","Action & Adventure",100,"PG","MGM",2004-03-12,2004,3,12,2004-07-13,2004,7,13,4.5,10651,"Rotten",13,"Spilled",31,"no","no","no","no","no","no","Kevin Allen","Frankie Muniz","Anthony Anderson","Hannah Spearritt","Cynthia Stevenson","Daniel Roebuck","http://www.imdb.com/title/tt0358349/","//www.rottentomatoes.com/m/agent_cody_banks_2_destination_london/"
"Little Manhattan","Feature Film","Drama",84,"PG","20th Century Fox",2005-09-30,2005,9,30,2006-04-04,2006,4,4,7.6,17960,"Fresh",77,"Upright",86,"no","no","no","no","no","no","Mark Levin","Josh Hutcherson","Bradley Whitford","Cynthia Nixon","Charlie Ray","Willie Garson","http://www.imdb.com/title/tt0412922/","//www.rottentomatoes.com/m/little_manhattan/"
"The Groove Tube","Feature Film","Other",75,"R","Levitt-Pickman Film Corporation",1974-01-01,1974,1,1,2000-05-30,2000,5,30,5.9,1607,"Rotten",13,"Upright",60,"no","no","no","no","no","no","Ken Shapiro","Mary Mendham","Richard Belzer","Bill Paxton","Chevy Chase","Buzzy Linhart","http://www.imdb.com/title/tt0071583/","//www.rottentomatoes.com/m/groove_tube/"
"Godzilla","Feature Film","Mystery & Suspense",123,"PG-13","Warner Bros Pictures",2014-05-16,2014,5,16,2014-09-16,2014,9,16,6.5,289825,"Certified Fresh",74,"Upright",66,"no","no","no","no","no","no","Gareth Edwards","Aaron Taylor-Johnson","Elizabeth Olsen","Bryan Cranston","David Strathairn","Ken Watanabe","http://www.imdb.com/title/tt0831387/","//www.rottentomatoes.com/m/godzilla_2014/"
"The Secret Garden","Feature Film","Drama",101,"G","WARNER BROTHERS PICTURES",1993-03-18,1993,3,18,2000-01-01,2000,1,1,7.3,27097,"Certified Fresh",85,"Upright",80,"no","no","no","yes","no","no","Agnieszka Holland","Kate Maberly","Maggie Smith","Heydon Prowse","Andrew Knott","Laura Crossley","http://www.imdb.com/title/tt0108071/","//www.rottentomatoes.com/m/1045518-secret_garden/"
"The Godfather, Part II","Feature Film","Mystery & Suspense",202,"R","Paramount Pictures",1974-12-20,1974,12,20,2005-05-24,2005,5,24,9,749783,"Certified Fresh",97,"Upright",97,"yes","yes","yes","yes","yes","no","Francis Ford Coppola","Al Pacino","Robert De Niro","Robert Duvall","Diane Keaton","Talia Shire","http://www.imdb.com/title/tt0071562/","//www.rottentomatoes.com/m/godfather_part_ii/"
"Imagining Argentina","Feature Film","Art House & International",107,"R","Arenas Entertainment",2004-06-11,2004,6,11,2005-10-11,2005,10,11,6.3,2732,"Rotten",33,"Upright",72,"no","no","no","yes","no","no","Christopher Hampton","Irene Escolar","Fernando Tielve","Hector Bordoni","Antonio Banderas","Emma Thompson","http://www.imdb.com/title/tt0314197/","//www.rottentomatoes.com/m/imagining_argentina/"
"On Golden Pond","Feature Film","Drama",109,"PG","Twentieth Century Fox Home Entertainment",1981-12-04,1981,12,4,2001-03-20,2001,3,20,7.7,20738,"Fresh",92,"Upright",87,"yes","no","yes","yes","no","yes","Mark Rydell","Henry Fonda","Katharine Hepburn","Jane Fonda","Dabney Coleman","Doug McKeon","http://www.imdb.com/title/tt0082846/","//www.rottentomatoes.com/m/on_golden_pond/"
